48
1Moscow 0 550 260
2St.Petersburg |     1 |  520 |  200 |
3Paris         |     1 |  440 |  285 |
4Helsinki      |     1 |  464 |  225 |
5London        |     1 |  418 |  270 |
6Berlin        |     1 |  482 |  278 |
7Madrid        |     1 |  412 |  345 |
8Stambul       |     0 |  514 |  345 |
9Tunis         |     0 |  436 |  390 |
10Cairo         |     0 |  503 |  415 |
11Astana        |     0 |  652 |  335 |
12Bagdad        |     0 |  550 |  385 |
13Sana'a        |     0 |  556 |  470 |
14Karachi       |     0 |  610 |  415 |
15Mumbai        |     0 |  627 |  480 |
16New Deli      |     0 |  652 |  390 |
17Hartum        |     2 |  515 |  530 |
18Lagos         |     2 |  440 |  530 |
19Kinshasa      |     2 |  482 |  615 |
20Iohanesburg   |     2 |  500 |  740 |
21Madras        |     0 |  660 |  525 |
22Kalkutta      |     0 |  690 |  445 |
23Bankok        |     3 |  700 |  490 |
24Hoshniki      |     3 |  755 |  490 |
25Djakarta      |     3 |  735 |  570 |
26Sidnei        |     3 |  880 |  740 |
27Manila        |     3 |  790 |  550 |
28Gonkong       |     3 |  740 |  445 |
29Taibei        |     3 |  790 |  435 |
30Shanhai       |     3 |  740 |  390 |
31Pekin         |     3 |  710 |  330 |
32Osaca         |     3 |  810 |  360 |
33Tokyo         |     3 |  840 |  330 |
34Seul          |     3 |  790 |  310 |
35New_York      |     1 |  220 |  345 |
36Toronto       |     1 |  160 |  335 |
37Chicago       |     1 |  130 |  355 |
38Vashinton     |     1 |  190 |  385 |
39Atlanta       |     1 |  140 |  395 |
40San-Francisco |     1 |   80 |  295 |
41Los-Angeles   |     2 |   90 |  415 |
42Mexico        |     2 |  140 |  460 |
43Miamy         |     2 |  200 |  450 |
44Bogotta       |     2 |  220 |  600 |
45Lima          |     2 |  210 |  650 |
46Santjago      |     2 |  240 |  750 |
47Buenos-Aires  |     2 |  270 |  800 |
48San-Paulu     |     2 |  300 |  720 |
|     1 |    2 |
|     2 |    4 |
|     1 |    8 |
|     2 |    8 |
|     3 |    5 |
|     3 |    6 |
|     3 |    7 |
|     3 |    4 |
|     4 |    5 |
|     5 |    7 |
|     6 |    8 |
|     4 |    6 |
|     9 |    7 |
|     9 |    3 |
|     9 |    8 |
|    10 |    8 |
|    10 |    9 |
|    11 |    1 |
|    12 |    8 |
|    12 |   11 |
|    12 |   10 |
|    13 |   10 |
|    13 |   12 |
|    14 |   11 |
|    14 |   12 |
|    14 |   13 |
|    15 |   14 |
|    16 |   15 |
|    16 |   14 |
|    16 |   11 |
|    17 |   10 |
|    18 |   17 |
|    19 |   17 |
|    19 |   18 |
|    20 |   19 |
|    20 |   17 |
|    21 |   16 |
|    21 |   15 |
|    22 |   21 |
|    22 |   16 |
|    23 |   22 |
|    23 |   21 |
|    24 |   23 |
|    25 |   21 |
|    25 |   23 |
|    25 |   24 |
|    26 |   25 |
|    27 |   24 |
|    27 |   26 |
|    28 |   24 |
|    28 |   23 |
|    28 |   22 |
|    28 |   27 |
|    29 |   28 |
|    29 |   27 |
|    30 |   28 |
|    30 |   29 |
|    31 |   30 |
|    32 |   29 |
|    33 |   32 |
|    33 |   30 |
|    34 |   33 |
|    34 |   30 |
|    34 |   31 |
|    35 |    5 |
|    35 |    7 |
|    36 |   35 |
|    37 |   36 |
|    38 |   35 |
|    38 |   36 |
|    39 |   38 |
|    39 |   37 |
|    40 |   37 |
|    41 |   37 |
|    41 |   40 |
|    42 |   37 |
|    42 |   41 |
|    43 |   38 |
|    43 |   42 |
|    43 |   39 |
|    44 |   42 |
|    44 |   43 |
|    45 |   42 |
|    45 |   44 |
|    46 |   45 |
|    47 |   44 |
|    48 |   47 |
|    48 |   18 |
|    48 |    7 |
|    48 |   44 |
